Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Consumption
DOUGLASS ADDITION,MANHATTAN,DOUGLASS ADDITION,,Not Applicable,,148,569,M014800,FEDERAL,NY005010820P,"S.J. Fuel Co., Inc.",2896786,9/1/12,8/22/12,9/21/12,30,495416018400002-OIL,N         ,$65.49 ,19
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,82,0,M008200,,,"S.J. Fuel Co., Inc.",4245792,1/1/12,12/23/11,1/25/12,33,495416018500017-OIL-62.7%,N         ,$736.66 ,228.86
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,582,0,M058200,,,"S.J. Fuel Co., Inc.",4245792,1/1/12,12/23/11,1/25/12,33,495416018500017-OIL-37.3%,N         ,$438.24 ,136.15
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,82,0,M008200,,,"S.J. Fuel Co., Inc.",4245809,2/1/12,1/25/12,2/24/12,30,495416018500017-OIL-62.7%,N         ,$299.57 ,89.03
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,582,0,M058200,,,"S.J. Fuel Co., Inc.",4245809,2/1/12,1/25/12,2/24/12,30,495416018500017-OIL-37.3%,N         ,$178.22 ,52.97
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,82,0,M008200,,,"S.J. Fuel Co., Inc.",4245813,3/1/12,2/24/12,3/26/12,31,495416018500017-OIL-62.7%,N         ,$625.66 ,181.2
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,582,0,M058200,,,"S.J. Fuel Co., Inc.",4245813,3/1/12,2/24/12,3/26/12,31,495416018500017-OIL-37.3%,N         ,$372.20 ,107.8
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,82,0,M008200,,,"S.J. Fuel Co., Inc.",4245817,4/1/12,3/26/12,4/24/12,29,495416018500017-OIL-62.7%,N         ,$405.79 ,120.38
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,582,0,M058200,,,"S.J. Fuel Co., Inc.",4245817,4/1/12,3/26/12,4/24/12,29,495416018500017-OIL-37.3%,N         ,$241.40 ,71.62
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,82,0,M008200,,,"S.J. Fuel Co., Inc.",4245822,5/1/12,4/24/12,5/23/12,29,495416018500017-OIL-62.7%,N         ,"$2,170.15 ",687.19
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,582,0,M058200,,,"S.J. Fuel Co., Inc.",4245822,5/1/12,4/24/12,5/23/12,29,495416018500017-OIL-37.3%,N         ,"$1,291.02 ",408.81
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,82,0,M008200,,,"S.J. Fuel Co., Inc.",4245827,6/1/12,5/23/12,6/22/12,30,495416018500017-OIL-62.7%,N         ,"$1,971.28 ",687.19
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,582,0,M058200,,,"S.J. Fuel Co., Inc.",4245827,6/1/12,5/23/12,6/22/12,30,495416018500017-OIL-37.3%,N         ,"$1,172.71 ",408.81
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,82,0,M008200,,,"S.J. Fuel Co., Inc.",4245830,7/1/12,6/22/12,7/24/12,32,495416018500017-OIL-62.7%,N         ,$185.97 ,60.19
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,582,0,M058200,,,"S.J. Fuel Co., Inc.",4245830,7/1/12,6/22/12,7/24/12,32,495416018500017-OIL-37.3%,N         ,$110.63 ,35.81
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,82,0,M008200,,,"S.J. Fuel Co., Inc.",4245836,9/1/12,8/22/12,9/21/12,30,495416018500017-OIL-62.7%,N         ,$311.19 ,90.29
DOUGLASS I/DOUGLASS II,MANHATTAN,DOUGLASS I/DOUGLASS II,,Not Applicable,,582,0,M058200,,,"S.J. Fuel Co., Inc.",4245836,9/1/12,8/22/12,9/21/12,30,495416018500017-OIL-37.3%,N         ,$185.13 ,53.71
